id,type,size,intensity,fadeout,color,offset,hit size,hit intensity,hit fadeout,hit color,flash size,flash intensity,flash fadeout,flash color,flash offset,chance,fighter dim
,,,,,,,,,,,,,,,,,
# BEAMS,,,,,,,,,,,,,,,,,
apex_fusion_small,beam,30,0.5,,"[240,155,150]",,200,1,,"[255,85,110]",100,0.33,,"[255,85,110]",,1,TRUE
apex_fusion_medium,beam,45,0.5,,"[240,155,150]",,220,1,,"[255,85,110]",120,0.25,,"[255,85,110]",,1,TRUE
apex_fusion_large,beam,60,0.5,,"[240,155,150]",,275,1.5,,"[255,85,110]",120,0.25,,"[255,85,110]",,1,TRUE
apex_emp_laser,beam,45,0.45,,"[80,80,245]",,130,0.25,,"[10,245,10]",65,0.25,,"[10,10,245]",,1,TRUE
apex_flickerbeam,beam,90,0.5,,"[236,242,61]",,275,0.85,,"[85,25,215]",135,0.4,,"[236,242,61]",,1,TRUE
,,,,,,,,,,,,,,,,,
# PROJECTILES,,,,,,,,,,,,,,,,,
apex_cryoblob,projectile,175,0.4,0.5,"[128,255,255]",,,,,,,,,,,,
apex_dartgun_shot,projectile,130,0.3,0.175,"[255,220,30]",,135,0.4,0.9,"[255,220,30]",125,0.4,0.15,"[255,185,115]",,1,TRUE
apex_disruptor_shot,projectile,200,0.75,0.5,"[255,100,150]",,250,0.8,1,"[255,100,150]",250,0.4,0.6,"[255,100,150]",,1,TRUE
apex_flak_shot,projectile,90,0.25,0.2,"[255,245,175]",,140,0.3,1,"[255,155,155]",100,0.25,0.3,"[255,155,75]",,1,TRUE
apex_flak_shot_nonexplosive,projectile,90,0.25,0.2,"[255,245,175]",,140,0.3,1,"[255,155,155]",100,0.25,0.3,"[255,155,75]",,1,TRUE
apex_foamer_shot,projectile,125,0.2,0.25,"[75,110,15]",,150,0.25,0.6,"[20,95,175]",125,0.2,0.3,"[75,110,15]",,1,TRUE
apex_haymarket_shot,projectile,140,0.3,0.3,"[200,190,255]",,140,0.3,0.75,"[200,190,255]",125,0.35,0.15,"[200,190,255]",,1,TRUE
apex_ins_flak_shot,projectile,90,0.25,0.2,"[255,50,40]",,140,0.3,1,"[255,155,155]",100,0.25,0.3,"[255,155,75]",,1,TRUE
apex_ins_mhd_shot,projectile,125,0.4,0.2,"[230,255,210]",,125,0.4,0.75,"[230,255,210]",150,0.25,0.15,"[165,225,185]",,1,TRUE
apex_ins_plasma_shot,projectile,150,0.45,0.175,"[90,70,255]",,200,0.55,1,"[90,70,255]",200,0.3,0.35,"[255,185,215]",,1,TRUE
apex_ins_plasma_emp_shot,projectile,150,0.45,0.175,"[72,255,255]",,200,0.55,1,"[72,255,255]",200,0.3,0.35,"[255,220,215]",,1,TRUE
apex_nanogun_shot,projectile,125,0.3,0.2,"[255,180,60]",,140,0.35,0.9,"[255,180,60]",100,0.25,0.5,"[255,240,165]",,1,TRUE
apex_qgp_med_shot,projectile,100,0.2,0.25,"[255,245,175]",,115,0.2,0.5,"[255,245,175]",75,0.1,0.35,"[255,245,175]",,1,TRUE
apex_qgp_small_shot,projectile,70,0.2,0.25,"[255,245,175]",,75,0.2,0.5,"[255,245,175]",45,0.1,0.35,"[255,245,175]",,1,TRUE
