id,type,text1,text2,text3,notes
# Ships,,,,,
apex_apex,SHIP,"An extremely formidable warship designed to engage the heaviest capitals the Domain ever produced, the Summit-class battleship serves as the Collective's answer to the Paragon, offering massive firepower and durability for a correspondingly high price.

Widely viewed as the Collective's flagship, the Summit makes use of every trick the Fleet Design engineers had in their books. Nearly every component is standardized and designed for ease of maintenance, and large portions of the warship can be replaced without even opening a toolbox. This, of course, only makes the Summit easy to maintain, not cheap. Summits are fairly rare due to their cost and relative impracticality- while they offer stupendous firepower and extreme durability, they cannot keep up with faster battlecruiser fleets. As a result, they mainly see service in defense fleets, guarding jump points and population centers.",,,
apex_apotheosis,SHIP,"An aging battlecruiser in the process of being phased out in favor of the heavier and more modern Eidolon, the Apotheosis is a pocket battlecruiser primarily intended as a cruiser killer, rather than a frontline capital warship. Its high mobility means that smaller ships have a difficult time escaping its large frontal guns.

To avoid overlapping designs, the Apotheosis was developed concurrently with the Summit-class battleships. This allowed engineers to pile bulk onto the Summit, while keeping the Apotheosis as light as possible. As a result, it is one of the smallest, cheapest, and fastest capital warships available in the Persean Sector. Today, however, the Apotheosis has been mostly phased out in favor of the newer Eidolon, with hulls being swapped out as the newer battlecruisers leave the shipyards.",,,
apex_spectrum,SHIP,"Taking advantage of the freighter-like internal volumes required for hangar bays and fighter nanoforges, the Spectrum's bays are self-contained modules, and can be easily swapped out for fuel tanks or cargo containers.

Unsurprisingly, much of the difficulty in maintaining starships comes from the sheer variety of hulls in service. Different ships require different tools and training, even among ships from the same manufacturer. Recognizing this as an inevitable problem, the Fleet Design Bureau consolidated their logistics and carrier hulls into a single vessel. While the crew training for a Spectrum is somewhat more involved than most other ships (as they must know cargo, fuel, and strikecraft procedures), this consolidation saves significant amounts of time overall.",,,
apex_alligator,SHIP,"An evolution of the ancient ""Cruiser School"" doctrine, the Alligator is designed to function as a capable and flexible line cruiser.

The Collective's Fleet Design Bureau settled on a jack-of-all trades cruiser to make up the mainstay of the Apex fleet. Several capabilities were sacrificed to make the Alligator as logistically efficient as possible, including an advanced temporal shell, though some of these devices would later be engineered into other Apex vessels. 

Like most Apex vessels, Alligators are remarkably easy to maintain thanks to a variety of features. Rumor states that Design Bureau departments have an ongoing competition to see exactly how standardized a ship can be made- the Alligator in particular only has three different sizes of screws in it, and four different sizes of bolts.",,,
apex_caiman,SHIP,"An advanced destroyer that focuses on forward firepower and durability, the Caiman is effective at supporting larger ships, but falters when faced with numerous targets.

Previous versions of the Caiman's design have existed since before the Collapse, and are rumored to have even competed for the same contract as the Sunder. Prior to the collapse, these designs saw relatively little usage, with faster, more versatile destroyers holding the attention of Domain admirals. Post-collapse, it was quickly rushed into production by Collective self-defense forces, serving as an anti-capital weapons platform in the labor wars. Today, the modernized version of the Caiman is a cheap and durable way of getting capital-grade firepower onto the battlefield.",,,
apex_agama,SHIP,"A moderately armed frigate with a fantastic top speed thanks to a quick-cycle travel drive, the Agama is ideal for scouting, picket duty, and other roles that require extreme long-range speed.

The Agama was the first post-revolution Apex design to be put into true mass production. Its low production cost makes it cheap enough to serve as the ""worker's warship,"" and is thus available for private purchase all across the Collective. While it barely matches other similar frigates in terms of firepower, its superb travel speed makes it excellent for capturing comm relays and other points of tactical interest, and makes it quite popular for racing.",,,
apex_lacerta,SHIP,"A heavily armed frigate designed to engage and destroy other high-performance frigates. Oriented towards a defensive role, the Lacerta relies on careful use of its Arcmine Dispenser to intercept incoming fighters and missiles.

Suffering from an uptick in pirate activity coinciding with the Second AI War, the Defense Force issued an urgent requirement for a new escort craft capable of both running down frigates and holding its own against larger ships. While the Design Bureau had previously eschewed high-end frigates (and focused on developing ultra-heavy fighters instead), they acquiesced and eventually produced the Lacerta-class frigate. More than capable of shredding the various skirmishers found in pirate fleets, the new heavy frigates quickly became a welcome sight for convoy commanders.",,,
apex_mamba,SHIP,"A modern phase frigate with relatively low logistical overhead, the Mamba is effective and versatile, but generally unremarkable aside from its unique point defense system.

Phase coils are well-known for producing a variety of exotic mental illnesses, particularly among those who experience numerous rapid phase dives or prolonged phase exposure. The Domain military procurement apparatus was certainly aware of this (evidenced by their repeated attempts to suppress that fact), but simply took the occasional psychotic break as the price of doing business. For the Collective, such callousness is anathema, and the Fleet Design Bureau poured fortunes into producing a phase coil that was acceptably safe. As a result, the Collective's phase ships use an exotic low-intensity phase coil design that produces a ""shallower"" phase depth. This enormously reduces the side effects on the crew, and Collective phase ships are known for having extremely gentle dives.

In the Collective, postings to a phase ship are extremely competitive. This is not due to any high standards for phase crews, but rather the so-called ""holy grail"" of union-negotiated bonuses and overtimes- timeflow pay, phase pay, combat pay, and zero-g pay. As a result, a single combat tour on a Collective phase ship can net a crewman nearly triple what they'd make in a year. Unsurprisingly, this is also why Collective phase ships make heavy use of automation.",,,
apex_najash,SHIP,"The Najash is a high-performance troop transport designed to deliver a load of marines at maximum possible velocity, giving targets little time to react. An integrated air-to-ground weapon suite ensures that any landing zone is secured before troops are deployed.

Najash-class dropships are a modern development from the Fleet Design Bureau, designed with extensive input from seasoned marines and ground commanders. Despite its short service life so far, it has a positive reputation among marines for its sheer number of air-to-ground weapons, and the surprising comfort of its accommodations. Fleet commanders may complain that it has no space-capable weaponry, but the marines it carries are usually all too happy to hear that they won't be seeing void combat.",,,
